pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
GQ995252.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995254.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995253.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995250.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995259.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995251.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995247.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995256.1.1764_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995263.1.1764_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995249.1.1764_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995255.1.1763_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995246.1.1757_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
